Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
immersive view|սուզիչ տեսք
implicit intersection|ենթադրելի հատում
import|ներմուծել
Import Document|Ներմուծել փաստաթուղթ
Import Video|Տեսանյութերի ներմուծում
impression|դիտում
inactive|ոչ ակտիվ
inactive window|ոչ ակտիվ պատուհան
in-app offer|ներ-գործադիր առաջարկ
in-app purchase|ներ-գործադիր գնում
in-app subscription|կանխավճարային բաժանորդագրում
Inbox|մուտքի արկղ
Inbox folder|մտից պանակ
Inbox Zero|Մուտքի արկղ զրո
incident report|դեպքի մասին հայտնում
Inclusive Language|Ոչ խտրական լեզու
incoming message|մտից ուղերձ
incompatible|անհամատեղելի
Incorrect Inflection|Սխալ խոնարհում
Incorrect Pronoun Case|Սխալ դերանվան հոլով
Incorrect Verb Form|Սխալ բայաձև
indent|նահանջ
indent|նահանջ
indent|նահանջել
indentation|ներս շեղում
index|դասիչ
index|ցուցակել
index|ցուցակել
index entry|ցուցակի գրառում
index partition|որոնման մասնաբաժին
index replica|որոնման դասիչի կրկնօրինակ
indicator|ցուցիչ
inflection|խոնարհում
info|տեղեկություն
InfoBar|Տեղեկագոտի
InfoPath Filler|InfoPath Filler
information|տեղեկություն
Information Access Service|Տեղեկույթի մատչման ծառայություն
Information bar|տեղեկության գոտի
information card|տեղեկատվական քարտ
information service|տեղեկատվական ծառայություն
infotip|հուշակ
infrared|ինֆրակարմիր
infrared|ինֆրակարմիր
infrastructure master|ենթակառուցվածքի կարգավորող
Inicis|Inicis
initialize|նախապատրաստել
initialize|սկզբնավորել
initiator|սկզբնավորիչ
ink|թանաք
Ink Art|Թանաքով նկարչություն
ink as ink|թանաքը որպես այդպիսին
Ink Editor|Թանաքով խմբագրիչ
ink equation|ձեռագրով հավասարում
Ink for phone|թանաք հեռախոսի համար
ink grab|թանաքի գրավում
Ink Math Assistant|Մաթեմատիկական հավասարումների փոխարկման ու լուծման օգնական
Ink Replay|Թանաքանշման կրկնում
Ink to Math|Ձեռագիր մաթեմատիկական հավասարումները՝ թվային հավասարումների
Ink to shape|Թանաքանշումը ձևի
inking|ներկում
inline discussion|ներտող քննարկում
inline image|ներտող պատկեր
inline movie|ներտող շարժանկար
inline object|ներտող առարկա
inner join|ներքին միակցում
In-Place eDiscovery & Hold|Տեղում էլ․ տվյալների բացահայտում և պահում
In-Place Hold|Պահում տեղում
InPrivate|InPrivate
InPrivate Browsing|InPrivate Զննում
input cell|ներածման վանդակ
input device|ներածման սարք
input focus|ներածման կիզակետ
input method editor|Ներածման եղանակի խմբագրիչ
input/output|ներածում/արտածում
INR|INR
insert|զետեղել
INSERT key|ԶԵՏԵՂԵԼ ստեղն
Insert Screen Shot|Էկրանի հանույթի զետեղում
insertion point|զետեղման կետ
install|տեղադրել
install|տեղադրել
installation|տեղադրում
installer|տեղադրիչ
instance|հատանմուշ
instance|հատանմուշ
instant message|ակնթարթային ուղերձ
instant message|ուղերձել
instant messaging|ակնթարթային ուղերձում
Instant Search|Ակնթարթային որոնում
Instant Search|Ակնթարթային որոնում
InstantGo|InstantGo
instant-on HD|ակնթարթային HD
instruction|հրահանգ
Instructional tools|Ուսուցողական գործիքներ
integer|ամբողջ թիվ
Integrated Services Digital Network|Ամբողջացված ծառայությունների թվային ցանց
integrity|ամբողջականություն
intelligent feature|խելացի յուրահատկություն
intelligent service|խելացի ծառայություն
Intelligent Services|Խելացի ծառայություններ
Intelligent services|Խելացի ծառայություններ
intelligent tool|խելացի գործիք
interactive|փոխազդու
interactive demo|փոխազդու ցուցադրական
interactive view gallery|փոխազդու տեսքի սրահ
interface|միջերես
intermediate CA|միջակ CA
intermediate certification authority|միջակ վկայագրման լիազորող
internal modem|մոդեմ
Internal Revenue Service|ներքին եկամուտների ծառայություն
international format|միջազգային ձևաչափ
International List|Միջազգային ցուցակ
internet|համացանց
Internet access provider|համացանցի մատչում տրամադրող
Internet address|համացանցի հասցե
Internet connection|կապակցում համացանցին
Internet Directory|Համացանցի շտեմարան
Internet Explorer|Internet Explorer
Internet Explorer 10|Internet Explorer 10
Internet Explorer 10 Consumer Preview|Internet Explorer 10 Consumer Preview
Internet Explorer for the desktop|Սեղանի Internet Explorer
Internet Information Services|համացանցի տեղեկատվական ծառայություններ
Internet Key Exchange|Համացանցի բանալիների փոխանակում
Internet Message Access Protocol|համացանցում ուղերձների մատչելու հաղորդակարգ
Internet of Things|Իրերի Համացանց
Internet Protocol|համացանցի հաղորդակարգ
Internet service provider|համացանցի ծառայություններ տրամադրող
Internet Storage Name Service|համացանցի պահեստների անունների ծառայություն
Internet-facing URL|Համացանցի առերես URL
interoperability|փոխգործելիություն
interrupt|խզում
interrupt request|խզման հարցում
intranet|ներքին ցանց
invalid|անվավեր
Inventory & logistics|Գույք և մատակարարում
invert|հակադարձել
Inverted Pyramid|Հակադարձված բուրգ
Invisible|Անտեսանելի
invitation|հրավեր
invite|հրավիրել
invite|հրավերք
Invited|հրավիրված
invitee|հրավիրյալ
invoice PO|հաշիվ-ապրանքագրի ԳՊ
IoT|IoT
IP|IP
IP address|IP հասցե
IRP|IRP
IRQ|IRQ
IRS|IRS
iSCSI initiator|iSCSI սկզբնավորիչ
ISDN|ISDN
iSNS|iSNS
isometric|նույնաչափական
issuing CA|թողարկվող CA
issuing certification authority|թողարկվող վկայագրման լիազորող
italic|շեղ
Itanium|Itanium
Itau|Itau
item|միավոր
iteration|բազմակրկնություն
ITF|ITF
Japanese yen|ճապոնական յեն
Java|Java
JavaScript API for Office|JavaScript API Office-ի համար
JCB|JCB
job|գործ
job|աշխատանք
join|միակցում
join|միանալ
join line|կապակցման գիծ
joke program|կատակ ծրագիր
journal|մատյան
journal entry|մատյանի գրառում
journal post|մատյանի փոստ
joystick|ձողղեկ
jump|ցատկել
jump back|ցատկել հետ
jump group|ցատկի խումբ
Jump List|Ցատկի ցուցակ
junk|թափոն
junk e-mail|թափոն էլ. փոստ
junk e-mail|թափոն էլ. փոստ
junk e-mail folder|թափոն էլ. փոստ
junk mail|թափոնափոստ
justification|տողաշտկում
justify|տողաշտկել
kashidas|ձգաններ
KB|KB
KB|ԿԲ
KB article|ԳՇ-ի հոդված
kernel|միջուկ
kerning|տառակցում
key|ստեղն
key|բանալի
key combination|ստեղնակցություն
key filter|հիմնական զտիչ
Key Filters|Հիմնական զտիչներ
Key Management Service|Բանալու կառավարման ծառայություն
key sequence|ստեղնակցում
keyboard|ստեղնաշար
keyboard layout|ստեղնաշարի դասավորություն
keyboard shortcut|ստեղնային դյուրանցում
keypad|ստեղնախումբ
keyword|հիմնաբառ
Kids & family|Երեխաներ և ընտանիք
kilobit|կիլոբիթ
kilobyte|կիլոբայթ
Kinect sensor|Kinect սենսոր
knowledge base|գիտելիքների շտեմարան
Korean won|կորեական վոն
L2TP|L2TP
label|պիտակ
label|պիտակավորել
Labeled Hierarchy|Պիտակված ստորակարգ
LAN|LAN
landline|ստացիոնար հեռախոս
landscape|հորիզոնական
LANGID|LANGID
language|լեզու
language folder|լեզվի պանակ
Language for non-Unicode programs|Ոչ յունիկոդային ծրագրերի լեզու
language group|լեզվական խումբ
Language ID|Լեզվի ID
language identifier|լեզվի նույնացուցիչ
Language Interface Pack|Լեզվական միջերեսի փաթեթ
language pack|լեզվական փաթեթ
Language Settings tool|Լեզվի կարգավորումների գործիք
lap|ժամանակամիջոց
laptop|ծնկադիր
large organization|մեծ կազմակերպություն
Laser Pointer|Լազերային ցուցիչ
Lasso Select|Օղապարանի ընտրում
Last chance rentals|Վարձակալելու վերջին հնարավորությունը
Last night|Անցած գիշեր
Last night on TV|Անցած գիշերվա հեռուստահաղորդումները
Last night's shows|Անցած գիշերվա հեռուստահաղորդումները
late binding|ուշացած կապում
latency|աներեւ
latest version|ամենավերջին տարբերակ
